"","bedrnavn","bedrnr","opprdato","type","fylke","COVID"
"110","OSEBERG BEGRAVELSESBYRÅ AS
                ","818409982","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"111","PAPA REST 1 AS
                ","918375899","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"112","PARENTE INVEST AS
                ","918301305","2017-01-02","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"113","PATRICK JENSEN AS
                ","918309160","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"114","PEDERSEN MARINE CONSULT AS
                ","918338292","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"115","PETCHA AS
                ","918183523","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"116","PIXURANCE AS
                ","918306617","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"117","PRAGMATA AS
                ","918440208","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"118","PRAKTISK BISTAND AS
                ","918449566","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"119","RAMM HOLDING AS
                ","918375465","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"120","REHAB INTERNATIONAL AS
                ","918376054","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"121","RUSSEINDUSTRY DA
                ","917465215","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"122","RØRLEGGERMESTER RUNE BØE AS
                ","918473920","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"123","RØRLEGGERN LARVIK THOMAS LYSEBO
                ","918410600","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"124","SAIL ON AS
                ","918391819","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"125","SALESJOBS - VESTFOLD AS
                ","918407219","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"126","SAMEIET APOTEKERGÅRDEN
                ","918312250","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"127","SANDRA NEGLER OG IZABELA FRISØR AS
                ","918463682","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"128","SE MULIGHETENE AS
                ","918352023","2017-01-11","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"129","SIBEN CONSULT AS
                ","918464662","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"130","SK1 INVEST AS
                ","818430302","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"131","SKAGERAK BOLIGUTVIKLING AS
                ","918354085","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"132","SKOUSEN SANDEFJORD AS
                ","918306056","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"133","SOLLØKKA BYGG AS
                ","918463879","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"134","SPAREBANKSTIFTELSEN BV
                ","918290966","2017-01-02","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"135","SPAREBANKSTIFTELSEN NØTTERØY- TØNBERBERG
                ","918290982","2017-01-02","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"136","SPAREBANKSTIFTELSEN NØTTERØY- TØNSBERG
                ","918290982","2017-01-03","Rettelse av foretaksnavn                          
                ","Vestfold","Før"
"137","SPURV-ON AS
                ","918433252","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"138","STASJONSGAARDEN SANDE AS
                ","918399291","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"139","STEINSNES TRANSPORT AS
                ","918479554","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"140","STOREFJELL AS
                ","918300813","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"141","STORGATEN 26 LARVIK AS
                ","918289879","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"142","STUDIO FIGURA TØNSBERG AS
                ","918440739","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"143","STUDIO LILLE AS
                ","918447512","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"144","SVEINN JØRUNDSSON
                ","818165102","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"145","SVINNDAL EIENDOMSUTVIKLING AS
                ","918399453","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"146","SWK HOLDING AS
                ","918320938","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"147","SÅNNBLEDET AS
                ","918471006","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"148","T & T TENNISAKADEMI DA
                ","918311076","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"149","TANNLEGE ØYSTEIN MISJE AS
                ","918354751","2017-01-12","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"150","TEKSTILHANSEN AS
                ","918440216","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"151","THYME LAUG ERIKSSON
                ","918407464","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"152","TIDE SALGSSENTER SØNDRE VESTFOLD AS
                ","918311742","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"153","TILLITSBYGG AS
                ","918310789","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"154","TITI AS
                ","918328777","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"155","TJØME HEST OG HELSE AS
                ","918397671","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"156","TRENR NIKOLAI SØNDERSRØD AAMAAS
                ","918315802","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
"157","TØNSBERG BILSERVICE AS
                ","818270062","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Vestfold","Før"
