"","bedrnavn","bedrnr","opprdato","type","fylke","COVID"
"160","SKOLEM KRISTOFFER
                ","918359214","2017-01-13","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"161","SOLEVEIEN AS
                ","918459553","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"162","SOLLI OG SØNNER AS
                ","918332960","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"163","SOOT INVEST AS
                ","818307772","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"164","SPORT 1 FLÅ AS
                ","918476377","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"165","STEEN ENTREPRENØR OG LANDSKAP AS
                ","818375832","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"166","STERKE STEMMER AS
                ","918283293","2017-01-02","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"167","STERKE SØMMER ANNE-CATHRINE WIBORG-NIELSEN
                ","918448713","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"168","STOR EIENDOM AS
                ","918312498","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"169","SVANEGANGEN UTVIKLING AS
                ","918364471","2017-01-13","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"170","SYLVI BLIX AS
                ","918489339","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"171","TANNLEGE NICLAS BERGGREN AS
                ","918338411","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"172","THE BREWERY GULSKOGEN AS
                ","918415300","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"173","TICKGARDEN AS
                ","918320458","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"174","TICON FOLLESTAD AS
                ","918421130","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"175","TIURVEIEN EIENDOM AS
                ","918451889","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"176","TL TRANSPORT AS
                ","918312404","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"177","TOLLBUGATA 66 AS
                ","918459596","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"178","TOR IVAR GLØMME AS
                ","818425562","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"179","TRAILGUIDE AS
                ","918471200","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"180","TVEIT EIENDOMSUTVIKLING AS
                ","918381783","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"181","TØMRER KJETIL LIE HAUGEN AS
                ","918320431","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"182","VALSTAD GÅRD AS
                ","918487409","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
