"","bedrnavn","bedrnr","opprdato","type","fylke","COVID"
"116","TØNSVIK EIENDOM 2 AS
                ","918331107","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"117","TØNSVIK EIENDOM TEMP AS
                ","918331115","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"118","VANGSVIK BYGGESERVICE AS
                ","918416773","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"119","VINTERLYS HOLDING AS
                ","918318526","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"120","WALENTIN AS
                ","918307702","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"121","WARIN RENHOLD AS
                ","918433171","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"122","WK REGNSKAP AS
                ","918457909","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"123","XTENSO AS
                ","918000224","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"124","YOGARO AS
                ","918435670","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"125","ÆRFUGLVEIEN 7 AS
                ","918347240","2017-01-13","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"126","88 TROLL AS
                ","918610138","2017-02-24","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"127","ALPINE ADVENTURES NORWAY AS
                ","918484884","2017-02-04","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"128","ALTERA HOLDING AS
                ","918491287","2017-02-27","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"129","ANEGADA AS
                ","918521127","2017-02-15","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"130","ANITAS HELHETSTERAPI SENTER AS
                ","918555102","2017-02-27","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"131","ARCTIC BUESPORT AS
                ","818346182","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"132","ARCTIC SEA CRUISE INVEST AS
                ","918491724","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"133","ARCTIC VOYAGER AS
                ","918416765","2017-03-01","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"134","ARCTIQ AS
                ","918545085","2017-02-10","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"135","ARVID BERGLI TRANSPORT AS
                ","918594728","2017-02-23","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"136","AXAA DA
                ","918447032","2017-02-14","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"137","BACI INVEST AS
                ","918519858","2017-02-08","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"138","BARNEYOGA OG MEDIYOGA TROMSØ AS
                ","918566368","2017-02-15","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"139","BEST OFFICE AS
                ","918617469","2017-02-24","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"140","BIFROST BY THRANE AS
                ","918553452","2017-02-13","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"141","BONES MULTISERVICE AS
                ","918542728","2017-02-09","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"142","CANDICA EIENDOM AS
                ","918352570","2017-02-08","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"143","CARMENCITA EIENDOM AS
                ","918489401","2017-02-06","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"144","COPYSAFE HOLDING AS
                ","918621539","2017-02-27","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"145","CORNER INVEST AS
                ","918532609","2017-02-08","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"146","DANIELLIO JENSEN
                ","918614834","2017-02-23","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"147","DATANO AS
                ","918639721","2017-03-01","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
